 ,trade,war,china,trump,tariff,fear,market,stock,america,start,economy,farmer,global,news,like,says,new,president,dow,going,wall,one,world,get,win,back,say,points,may,good,people
trade,1.0,0.9992715617715617,0.6921555128809015,0.507469917638102,0.34567079523092953,0.33976851099055416,0.3105642218131318,0.2858597384358817,0.26110833749375933,0.24391146947506995,0.23514740679158405,0.22058321382230417,0.1974125660837739,0.19375452757942668,0.18118861052863922,0.18434872520475634,0.18317547834156728,0.17857343442853132,0.17950152451816834,0.1723496950334011,0.17460819554277499,0.17265686189191543,0.17173722627737226,0.17047425832818794,0.16897687809800838,0.16661158018088398,0.1596878330094653,0.16104787151099328,0.15515515515515516,0.1536756316218419,0.14760759879448715
war,0.9992715617715617,1.0,0.691770844657028,0.507396274176324,0.3456958050559278,0.3398231920052037,0.31058428345337685,0.2858622566317305,0.2612052079732688,0.24394709234155473,0.23529035558966488,0.22055274780312342,0.19727510739432144,0.19366607156718155,0.1814745323105789,0.1839505836893521,0.183321959874437,0.17850422669699778,0.1794276442778415,0.17259207621703265,0.17456072239956288,0.1728989585448638,0.17157206260219574,0.17060189949719193,0.16902161006886726,0.1667467996874812,0.1599172517552658,0.16093316283566728,0.15500371363063906,0.1537182538388811,0.14765146127535642
china,0.6921555128809015,0.691770844657028,1.0,0.3882668416323154,0.34518243299657675,0.1861005672367467,0.18121462016912432,0.1388523095623987,0.21933518005540167,0.15115727002967358,0.1591069836095821,0.12515188335358446,0.10193231401019323,0.16302765647743814,0.09839197580003184,0.16034699324854765,0.16753947316612197,0.14701831145681413,0.08115088172390138,0.100682951355428,0.07541690865344727,0.09260576641419425,0.10243450425406453,0.10408890397013912,0.1314978162199195,0.14252275682704812,0.11818962788804992,0.07670850767085077,0.13718092043972424,0.08521444695259593,0.08802696497484246
trump,0.507469917638102,0.507396274176324,0.3882668416323154,1.0,0.23743342921425112,0.09584218336291425,0.13107876168075774,0.10172419750526934,0.16679265250585834,0.16975708502024292,0.12117143576403457,0.21068196074917106,0.06793736555105308,0.10179762692875693,0.1086673183447377,0.10845115681233933,0.1182980552272483,0.1961087773601592,0.07504680101310428,0.09907386233706837,0.05088295223002037,0.10346008907159986,0.07528302971093616,0.11001794085305863,0.0937664310334755,0.11450201088242253,0.09753238741517582,0.05653428273279725,0.06787847972543536,0.07751042669233237,0.08578284343131373
tariff,0.34567079523092953,0.3456958050559278,0.34518243299657675,0.23743342921425112,1.0,0.10708507195776207,0.08525977952462906,0.07974312297734627,0.11073008849557522,0.06807678634909349,0.08903352572761881,0.1157301160579634,0.07233326012153159,0.07854534615097995,0.05825319876023206,0.10698330590171644,0.16715150562151113,0.09731435042873321,0.05946337926033358,0.057893415878858864,0.03934399072310114,0.05447860962566845,0.04465562189891514,0.049627371273712736,0.039158686730506154,0.11891985459581098,0.06779814029069242,0.05749191519942508,0.045670170216724024,0.04460512724199455,0.034334763948497854
fear,0.33976851099055416,0.3398231920052037,0.1861005672367467,0.09584218336291425,0.10708507195776207,1.0,0.2270480897167839,0.3224506663911561,0.026162626433858846,0.011561043520368016,0.03412583903142839,0.04796355841371919,0.1444278234854151,0.07735059002664636,0.012666450146151347,0.01921691088157579,0.07228915662650602,0.04429386001156929,0.3256503128086928,0.010854700854700855,0.22983836845222985,0.01954758856167307,0.06082996821032735,0.02240872123204707,0.0045418813870207,0.059598549827570964,0.014111787493082457,0.31130690161527164,0.01757886735081718,0.011032233307751342,0.009267563527653214
market,0.3105642218131318,0.31058428345337685,0.18121462016912432,0.13107876168075774,0.08525977952462906,0.2270480897167839,1.0,0.37770880361173814,0.059506172839506176,0.07743172650929049,0.08065510861371891,0.02810098792535675,0.1598169785113163,0.09090909090909091,0.05845307787830406,0.050734779566130164,0.04887251030973063,0.061298185429267855,0.07634892086330936,0.06181139122315593,0.03762595913839327,0.05175307720999627,0.07940679556973906,0.03799621928166352,0.024427480916030534,0.06790302327827683,0.0473551637279597,0.07509524764387407,0.037786774628879895,0.057744707608467824,0.03908121053777487
stock,0.2858597384358817,0.2858622566317305,0.1388523095623987,0.10172419750526934,0.07974312297734627,0.3224506663911561,0.37770880361173814,1.0,0.04033015702590256,0.06778808137445187,0.06309594755661502,0.014558472553699284,0.1358145318884349,0.06690777576853527,0.03962973676598207,0.020445036135412705,0.04893170545593285,0.04553483807654563,0.131097859028253,0.04790905399918798,0.08592101296352125,0.03396188158961882,0.062340577492092646,0.03164817098232635,0.026556016597510373,0.04651895411109944,0.028258488499452356,0.12337874659400545,0.030354321823516137,0.03987240829346093,0.030414201183431952
america,0.26110833749375933,0.2612052079732688,0.21933518005540167,0.16679265250585834,0.11073008849557522,0.026162626433858846,0.059506172839506176,0.04033015702590256,1.0,0.09569114640666772,0.08784224250325945,0.14035851026801252,0.03148076175670424,0.052714864998516464,0.07161691804661956,0.04680674017058457,0.04945742904841402,0.08223295759527643,0.023096663815226688,0.0789386033085378,0.027591513685830495,0.0688622754491018,0.08191964285714286,0.07654265482746993,0.0636559627822535,0.057087066390994715,0.05151551455612795,0.020028612303290415,0.058264411801012224,0.062429906542056074,0.11016181229773463
start,0.24391146947506995,0.24394709234155473,0.15115727002967358,0.16975708502024292,0.06807678634909349,0.011561043520368016,0.07743172650929049,0.06778808137445187,0.09569114640666772,1.0,0.08371159217877094,0.0796979865771812,0.028830141548709408,0.03104142387964827,0.07976499830527624,0.017047353760445683,0.031742483514027045,0.08555657773689053,0.028064146620847653,0.09550428163653663,0.06005652378709374,0.08670863522983727,0.05559540889526542,0.09848302431976884,0.0504436611158381,0.05721668512366187,0.06506673511293634,0.018518518518518517,0.024328969985455508,0.07529034841810173,0.0684969495285635
economy,0.23514740679158405,0.23529035558966488,0.1591069836095821,0.12117143576403457,0.08903352572761881,0.03412583903142839,0.08065510861371891,0.06309594755661502,0.08784224250325945,0.08371159217877094,1.0,0.024922720247295208,0.15435228130730233,0.04413702239789196,0.04999414588455684,0.03995381062355658,0.041005444225645775,0.06316291264450007,0.023148148148148147,0.06520399359053371,0.0174496644295302,0.05404407238704912,0.09057118077066038,0.045414847161572056,0.034891044212117396,0.0354501402703392,0.0595903165735568,0.018528321863419798,0.041107152644560156,0.06488655229662424,0.044690329070268715
farmer,0.22058321382230417,0.22055274780312342,0.12515188335358446,0.21068196074917106,0.1157301160579634,0.04796355841371919,0.02810098792535675,0.014558472553699284,0.14035851026801252,0.0796979865771812,0.024922720247295208,1.0,0.004952775858097213,0.02919451283855083,0.042260565141285324,0.03982737361282367,0.024245423057892134,0.03945024179180453,0.005070993914807302,0.08016322232460181,0.007427677873338546,0.032207177599579334,0.014554114845197141,0.10606262491672218,0.020581113801452784,0.021105664488017428,0.06306818181818181,0.0028268551236749115,0.038484050336552535,0.03471709262815778,0.03759975445058318
global,0.1974125660837739,0.19727510739432144,0.10193231401019323,0.06793736555105308,0.07233326012153159,0.1444278234854151,0.1598169785113163,0.1358145318884349,0.03148076175670424,0.028830141548709408,0.15435228130730233,0.004952775858097213,1.0,0.04529388663437623,0.018148820326678767,0.038138510257469366,0.03687336003314459,0.03637913883757283,0.025336164189667373,0.016901822457378014,0.013822202822639313,0.030823425803610745,0.04816073275225292,0.01428146385004463,0.008110543706818865,0.029192641021742436,0.023786869647954328,0.014360107306296355,0.03398692810457516,0.024084460574067965,0.007710760795065113
news,0.19375452757942668,0.19366607156718155,0.16302765647743814,0.10179762692875693,0.07854534615097995,0.07735059002664636,0.09090909090909091,0.06690777576853527,0.052714864998516464,0.03104142387964827,0.04413702239789196,0.02919451283855083,0.04529388663437623,1.0,0.02529486997299986,0.04470918009810792,0.04976803036693378,0.03109632629447498,0.038611151130960954,0.018399401645474944,0.036285545023696686,0.030180785895711937,0.0806015037593985,0.032106618203846735,0.02063904601742853,0.031104921077065924,0.026150121065375304,0.03726309026662383,0.03924829536005322,0.05540631296171927,0.016044645971398673
like,0.18118861052863922,0.1814745323105789,0.09839197580003184,0.1086673183447377,0.05825319876023206,0.012666450146151347,0.05845307787830406,0.03962973676598207,0.07161691804661956,0.07976499830527624,0.04999414588455684,0.042260565141285324,0.018148820326678767,0.02529486997299986,1.0,0.0240621730683007,0.022188905547226388,0.04997686256362795,0.01997541487400123,0.07051691129546905,0.016900963512873162,0.1174314850223072,0.03832584990378448,0.059431524547803614,0.048255624388653405,0.039115365571876545,0.06197280082630401,0.019184652278177457,0.022525718339836822,0.061056401074306176,0.07254464285714286
